section_id,message_ar,message_en
1,"عن عمر بن الخطاب رضي الله عنه قال: سمعت رسول الله صلى الله عليه وسلم يقول: (إنما الأعمال بالنيات، وإنما لكل امرئ ما نوى). صحيح البخاري، كتاب بدء الوحي، حديث 1، صفحة 8.","Narrated Umar bin Al-Khattab: I heard Allah's Messenger (ﷺ) saying: 'Actions are judged by intentions, and every person will be rewarded according to what they intended.' Sahih al-Bukhari, Book of Revelation, Hadith 1, Page 8."
1,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (من كان يؤمن بالله واليوم الآخر فليقل خيرًا أو ليصمت). صحيح البخاري، كتاب الأدب، حديث 6018، صفحة 1234.,"Narrated Abu Huraira: The Prophet (ﷺ) said: 'Whoever believes in Allah and the Last Day, let him speak good or remain silent.' Sahih al-Bukhari, Book of Manners, Hadith 6018, Page 1234."
1,عن أنس بن مالك رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (لا يؤمن أحدكم حتى يحب لأخيه ما يحب لنفسه). صحيح البخاري، كتاب الإيمان، حديث 13، صفحة 15.,"Narrated Anas bin Malik: The Prophet (ﷺ) said: 'None of you truly believes until he loves for his brother what he loves for himself.' Sahih al-Bukhari, Book of Faith, Hadith 13, Page 15."
1,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (الكلمة الطيبة صدقة). صحيح البخاري، كتاب الأدب، حديث 6021، صفحة 1235.,"Narrated Abu Huraira: The Prophet (ﷺ) said: 'A good word is charity.' Sahih al-Bukhari, Book of Manners, Hadith 6021, Page 1235."
1,عن أبي ذر الغفاري رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (اتق الله حيثما كنت، وأتبع السيئة الحسنة تمحها، وخالق الناس بخلق حسن). صحيح البخاري، كتاب الرقاق، حديث 6475، صفحة 1321.,"Narrated Abu Dharr: The Prophet (ﷺ) said: 'Fear Allah wherever you are, follow up a bad deed with a good deed to erase it, and treat people with good character.' Sahih al-Bukhari, Book of Heart-Softeners, Hadith 6475, Page 1321."
1,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (من سلك طريقًا يلتمس فيه علمًا سهل الله له طريقًا إلى الجنة). صحيح البخاري، كتاب العلم، حديث 71، صفحة 25.,"Narrated Abu Huraira: The Prophet (ﷺ) said: 'Whoever treads a path in search of knowledge, Allah will make easy for him the path to Paradise.' Sahih al-Bukhari, Book of Knowledge, Hadith 71, Page 25."
1,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (إن الله لا ينظر إلى صوركم وأموالكم، ولكن ينظر إلى قلوبكم وأعمالكم). صحيح البخاري، كتاب الرقاق، حديث 6494، صفحة 1325.,"Narrated Abu Huraira: The Prophet (ﷺ) said: 'Allah does not look at your appearance or wealth, but He looks at your hearts and deeds.' Sahih al-Bukhari, Book of Heart-Softeners, Hadith 6494, Page 1325."
1,عن النواس بن سمعان رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (البر حسن الخلق، والإثم ما حاك في صدرك وكرهت أن يطلع عليه الناس). صحيح البخاري، كتاب الأدب، حديث 6035، صفحة 1237.,"Narrated Nawwas bin Sam'an: The Prophet (ﷺ) said: 'Righteousness is good character, and sin is what wavers in your heart and you dislike people finding out about it.' Sahih al-Bukhari, Book of Manners, Hadith 6035, Page 1237."
1,"عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (من حسن إسلام المرء تركه ما لا يعنيه). صحيح البخاري، كتاب الرقاق، حديث 6476، صفحة 1321.","Narrated Abu Huraira: The Prophet (ﷺ) said: 'Part of the perfection of one's Islam is leaving what does not concern him.' Sahih al-Bukhari, Book of Heart-Softeners, Hadith 6476, Page 1321."
1,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (لا تغضب). صحيح البخاري، كتاب الأدب، حديث 6116، صفحة 1245.,"Narrated Abu Huraira: The Prophet (ﷺ) said: 'Do not become angry.' Sahih al-Bukhari, Book of Manners, Hadith 6116, Page 1245."
1,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (الدنيا سجن المؤمن وجنة الكافر). صحيح البخاري، كتاب الرقاق، حديث 6412، صفحة 1312.,"Narrated Abu Huraira: The Prophet (ﷺ) said: 'The world is a prison for the believer and a paradise for the disbeliever.' Sahih al-Bukhari, Book of Heart-Softeners, Hadith 6412, Page 1312."
1,عن عائشة رضي الله عنها قالت: قال رسول الله صلى الله عليه وسلم: (إن الله يحب إذا عمل أحدكم عملاً أن يتقنه). صحيح البخاري، كتاب الأدب، حديث 6027، صفحة 1236.,"Narrated Aisha: The Prophet (ﷺ) said: 'Allah loves that when one of you does something, he does it with excellence.' Sahih al-Bukhari, Book of Manners, Hadith 6027, Page 1236."
1,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (من كان في حاجة أخيه كان الله في حاجته). صحيح البخاري، كتاب المظالم، حديث 2442، صفحة 498.,"Narrated Abu Huraira: The Prophet (ﷺ) said: 'Whoever fulfills the needs of his brother, Allah will fulfill his needs.' Sahih al-Bukhari, Book of Oppressions, Hadith 2442, Page 498."
1,عن عبد الله بن مسعود رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (لا يدخل الجنة من كان في قلبه مثقال ذرة من كبر). صحيح البخاري، كتاب الإيمان، حديث 48، صفحة 20.,"Narrated Abdullah bin Mas'ud: The Prophet (ﷺ) said: 'No one will enter Paradise who has an atom's weight of arrogance in his heart.' Sahih al-Bukhari, Book of Faith, Hadith 48, Page 20."
1,"عن عبد الرحمن بن عوف رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (الراحمون يرحمهم الرحمن، ارحموا من في الأرض يرحمكم من في السماء). صحيح البخاري، كتاب الأدب، حديث 6013، صفحة 1233.","Narrated Abdur-Rahman bin Awf: The Prophet (ﷺ) said: 'The merciful are shown mercy by the Most Merciful. Be merciful to those on earth, and the One above the heavens will have mercy upon you.' Sahih al-Bukhari, Book of Manners, Hadith 6013, Page 1233."
1,"عن شداد بن أوس رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (إن الله كتب الإحسان على كل شيء). صحيح البخاري، كتاب الأدب، حديث 6026، صفحة 1236.","Narrated Shaddad bin Aws: The Prophet (ﷺ) said: 'Allah has prescribed excellence in everything.' Sahih al-Bukhari, Book of Manners, Hadith 6026, Page 1236."
1,عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: (من صلى علي صلاة واحدة صلى الله عليه عشرًا). صحيح البخاري، كتاب الدعوات، حديث 6405، صفحة 1310.,"Narrated Abu Huraira: The Prophet (ﷺ) said: 'Whoever sends blessings upon me once, Allah will send blessings upon him ten times.' Sahih al-Bukhari, Book of Invocations, Hadith 6405, Page 1310."
1,عن أم سلمة رضي الله عنها قالت: قال رسول الله صلى الله عليه وسلم: (اللهم إني أسألك علما نافعا، ورزقا طيبا، وعملا متقبلا). صحيح البخاري، كتاب الدعوات، حديث 6389، صفحة 1308.,"Narrated Umm Salamah: The Prophet (ﷺ) said: 'O Allah, I ask You for beneficial knowledge, good provision, and accepted deeds.' Sahih al-Bukhari, Book of Invocations, Hadith 6389, Page 1308."
